#Temps	EA1{7}

2.9E-6	-3.95291867968626
3E-6	-3.97297407616861
3.1E-6	-3.99052254809067
3.2E-6	-4.00055024633184
3.3E-6	-4.00305717089213
3.4E-6	-4.00305717089213
3.5E-6	-3.99804332177155
3.6E-6	-3.98300177440979
3.7E-6	-3.96294637792744
3.8E-6	-3.9378771323245
3.9E-6	-3.90528711304069
4E-6	-3.87019016919658
4.1E-6	-3.82506552711129
4.2E-6	-3.77743396046571
4.3E-6	-3.72478854469955
4.4E-6	-3.66211543069221
4.5E-6	-3.60194924124517
4.6E-6	-3.53175535355695
4.7E-6	-3.45404069218785
4.8E-6	-3.37632603081875
4.9E-6	-3.28607674664818
5E-6	-3.20585516071878
5.1E-6	-3.10808510286734
5.2E-6	-3.01031504501589
5.3E-6	-2.90502421348356
5.4E-6	-2.80224030651152
5.5E-6	-2.6919356258586
5.6E-6	-2.57912402064539
5.7E-6	-2.4587916417513
5.8E-6	-2.34096618741751
5.9E-6	-2.21561995940283
6E-6	-2.09027373138815
6.1E-6	-1.96242057881318
6.2E-6	-1.83206050167792
6.3E-6	-1.69668657542206
6.4E-6	-1.56131264916621
6.5E-6	-1.42593872291036
6.6E-6	-1.28805787209421
6.7E-6	-1.14516317215748
6.8E-6	-1.00477539678104
6.9E-6	-0.864387621404603
7E-6	-0.723999846028164
7.1E-6	-0.578598221531138
7.2E-6	-0.435703521594405
7.3E-6	-0.292808821657673
7.4E-6	-0.14991412172094
7.5E-6	-0.00451249722391367
7.6E-6	0.135875278152525
7.7E-6	0.276263053528965
7.8E-6	0.41414390434511
7.9E-6	0.554531679721549
8E-6	0.692412530537695
8.1E-6	0.825279532233253
8.2E-6	0.960653458489105
8.3E-6	1.09101353562437
8.4E-6	1.22137361275963
8.5E-6	1.34671984077431
8.6E-6	1.47206606878899
8.7E-6	1.59490537224337
8.8E-6	1.71022390201688
8.9E-6	1.82303550723009
9E-6	1.9358471124433
9.1E-6	2.04364486853592
9.2E-6	2.14642877550796
9.3E-6	2.24921268247999
9.4E-6	2.34447581577115
9.5E-6	2.43723202450201
9.6E-6	2.52497438411228
9.7E-6	2.61020981916226
9.8E-6	2.68792448053136
9.9E-6	2.76313221734017
1E-5	2.83332610502839
1.01E-5	2.90101306815632
1.02E-5	2.95867233304307
1.03E-5	3.01883852249011
1.04E-5	3.06897701369599
1.05E-5	3.11410165578127
1.06E-5	3.15421244874597
1.07E-5	3.18930939259008
1.08E-5	3.2193924873136
1.09E-5	3.24446173291653
1.1E-5	3.26702405395918
1.11E-5	3.28206560132094
1.12E-5	3.29460022412241
1.13E-5	3.2971071486827
1.14E-5	3.2971071486827
1.15E-5	3.29209329956211
1.16E-5	3.28206560132094
1.17E-5	3.26451712939888
1.18E-5	3.24696865747683
1.19E-5	3.22189941187389
1.2E-5	3.19181631715037
1.21E-5	3.15671937330626
1.22E-5	3.11660858034156
1.23E-5	3.07399086281657
1.24E-5	3.0238523716107
1.25E-5	2.96870003128424
1.26E-5	2.91354769095778
1.27E-5	2.85087457695045
1.28E-5	2.78569453838281
1.29E-5	2.71550065069459
1.3E-5	2.64279983844608
1.31E-5	2.56508517707698
1.32E-5	2.48486359114759
1.33E-5	2.39962815609761
1.34E-5	2.31188579648733
1.35E-5	2.22163651231676
1.36E-5	2.1288803035859
1.37E-5	2.03111024573445
1.38E-5	1.933340187883
1.39E-5	1.83055628091097
1.4E-5	1.72777237393893
1.41E-5	1.61997461784631
1.42E-5	1.51217686175369
1.43E-5	1.40437910566106
1.44E-5	1.29156750044785
1.45E-5	1.17624897067435
1.46E-5	1.06343736546114
1.47E-5	0.948118835687637
1.48E-5	0.832800305914134
1.49E-5	0.714974851580337
1.5E-5	0.59714939724654
1.51E-5	0.479323942912742
1.52E-5	0.358991564018652
1.53E-5	0.243673034245148
1.54E-5	0.123340655351058
1.55E-5	0.0105290501378477
1.56E-5	-0.107296404195949
1.57E-5	-0.225121858529747
1.58E-5	-0.337933463742957
1.59E-5	-0.450745068956167
1.6E-5	-0.56606359872967
1.61E-5	-0.676368279382586
1.62E-5	-0.786672960035503
1.63E-5	-0.894470716128126
1.64E-5	-1.00226847222075
1.65E-5	-1.10505237919278
1.66E-5	-1.20783628616482
1.67E-5	-1.30811326857656
1.68E-5	-1.40337640186772
1.69E-5	-1.49863953515887
1.7E-5	-1.59139574388973
1.71E-5	-1.67913810350001
1.72E-5	-1.76437353854999
1.73E-5	-1.84710204903968
1.74E-5	-1.92732363496907
1.75E-5	-2.00002444721758
1.76E-5	-2.07523218402639
1.77E-5	-2.14291914715432
1.78E-5	-2.20809918572195
1.79E-5	-2.27077229972929
1.8E-5	-2.32843156461604
1.81E-5	-2.3810769803822
1.82E-5	-2.43121547158808
1.83E-5	-2.47634011367336
1.84E-5	-2.51895783119835
1.85E-5	-2.56157554872334
1.86E-5	-2.59667249256745
1.87E-5	-2.62424866273068
1.88E-5	-2.64931790833361
1.89E-5	-2.66937330481596
1.9E-5	-2.68692177673802
1.91E-5	-2.70196332409978
1.92E-5	-2.71199102234095
1.93E-5	-2.71199102234095
1.94E-5	-2.71449794690125
1.95E-5	-2.71199102234095
1.96E-5	-2.70447024866007
1.97E-5	-2.6919356258586
1.98E-5	-2.67689407849684
1.99E-5	-2.6568386820145
2E-5	-2.63427636097185
2.01E-5	-2.60419326624833
2.02E-5	-2.57411017152481
2.03E-5	-2.5365063031204
2.04E-5	-2.49639551015571
2.05E-5	-2.45628471719101
2.06E-5	-2.41116007510573
2.07E-5	-2.36102158389986
2.08E-5	-2.3058692435734
2.09E-5	-2.25071690324694
2.1E-5	-2.19055071379989
2.11E-5	-2.12787759979255
2.12E-5	-2.06520448578522
2.13E-5	-1.995010598097
2.14E-5	-1.92481671040878
2.15E-5	-1.84960897359997
2.16E-5	-1.77440123679116
2.17E-5	-1.69417965086177
2.18E-5	-1.61395806493238
2.19E-5	-1.53122955444269
2.2E-5	-1.44599411939271
2.21E-5	-1.36075868434273
2.22E-5	-1.27301632473245
2.23E-5	-1.18276704056188
2.24E-5	-1.09001083183102
2.25E-5	-0.997254623100162
2.26E-5	-0.901991489809006
2.27E-5	-0.816756054759026
2.28E-5	-0.71397214778699
2.29E-5	-0.616202089935541
2.3E-5	-0.518432032084092
2.31E-5	-0.423168898792937
2.32E-5	-0.327905765501782
2.33E-5	-0.230135707650334
2.34E-5	-0.132365649798885
2.35E-5	-0.0345955919474363
2.36E-5	0.0631744659040123
2.37E-5	0.155930674634874
2.38E-5	0.251193807926029
2.39E-5	0.346456941217184
2.4E-5	0.441720074508339
2.41E-5	0.531969358678907
2.42E-5	0.622218642849475
2.43E-5	0.712467927020043
2.44E-5	0.800210286630318
2.45E-5	0.887952646240592
2.46E-5	0.970681156730279
2.47E-5	1.05340966721997
2.48E-5	1.13363125314936
2.49E-5	1.21385283907875
2.5E-5	1.28906057588756
2.51E-5	1.36176138813607
2.52E-5	1.43947604950517
2.53E-5	1.50214916351251
2.54E-5	1.56983612664044
2.55E-5	1.63250924064778
2.56E-5	1.69518235465512
2.57E-5	1.75534854410216
2.58E-5	1.80799395986833
2.59E-5	1.8581324510742
2.6E-5	1.90827094228007
2.61E-5	1.95339558436535
2.62E-5	1.99601330189034
2.63E-5	2.03612409485504
2.64E-5	2.07122103869915
2.65E-5	2.10381105798297
2.66E-5	2.13389415270649
2.67E-5	2.15896339830942
2.68E-5	2.18152571935207
2.69E-5	2.19907419127412
2.7E-5	2.21411573863588
2.71E-5	2.22665036143735
2.72E-5	2.23417113511823
2.73E-5	2.23918498423882
2.74E-5	2.23918498423882
2.75E-5	2.23667805967852
2.76E-5	2.23417113511823
2.77E-5	2.22163651231676
2.78E-5	2.2091018895153
2.79E-5	2.19656726671383
2.8E-5	2.17400494567119
2.81E-5	2.15394954918884
2.82E-5	2.1288803035859
2.83E-5	2.09879720886238
2.84E-5	2.06620718957856
2.85E-5	2.03111024573445
2.86E-5	1.99601330189034
2.87E-5	1.95339558436535
2.88E-5	1.90827094228007
2.89E-5	1.86314630019478
2.9E-5	1.81551473354921
2.91E-5	1.76286931778304
2.92E-5	1.71022390201688
2.93E-5	1.65256463713013
2.94E-5	1.59239844768308
2.95E-5	1.53223225823604
2.96E-5	1.47206606878899
2.97E-5	1.40688603022136
2.98E-5	1.33919906709343
2.99E-5	1.27151210396551
3E-5	1.20131821627729
3.01E-5	1.12861740402877
3.02E-5	1.05591659178026
3.03E-5	0.983215779531747
3.04E-5	0.905501118162647
3.05E-5	0.83029338135384
3.06E-5	0.755085644545034
3.07E-5	0.67486405861564
3.08E-5	0.59714939724654
3.09E-5	0.516927811317146
3.1E-5	0.436706225387752
3.11E-5	0.358991564018652
3.12E-5	0.276263053528965
3.13E-5	0.196041467599571
3.14E-5	0.115819881670177
3.15E-5	0.0381052203010768
3.16E-5	-0.042116365628317
3.17E-5	-0.119831026997417
3.18E-5	-0.200052612926811
3.19E-5	-0.275260349735618
3.2E-5	-0.352975011104718
3.21E-5	-0.428182747913524
3.22E-5	-0.505897409282625
3.23E-5	-0.578598221531138
3.24E-5	-0.651299033779651
3.25E-5	-0.723999846028164
3.26E-5	-0.794193733716384
3.27E-5	-0.86188069684431
3.28E-5	-0.927060735411942
3.29E-5	-0.992240773979574
3.3E-5	-1.05491388798691
3.31E-5	-1.11758700199425
3.32E-5	-1.1777531914413
3.33E-5	-1.23290553176776
3.34E-5	-1.28555094753392
3.35E-5	-1.34070328786038
3.36E-5	-1.38833485450596
3.37E-5	-1.43596642115153
3.38E-5	-1.48109106323682
3.39E-5	-1.5262157053221
3.4E-5	-1.5663264982868
3.41E-5	-1.6039303666912
3.42E-5	-1.63902731053531
3.43E-5	-1.67412425437942
3.44E-5	-1.69919349998236
3.45E-5	-1.72676967014559
3.46E-5	-1.75183891574852
3.47E-5	-1.77440123679116
3.48E-5	-1.79445663327351
3.49E-5	-1.80949818063527
3.5E-5	-1.82203280343674
3.51E-5	-1.83206050167792
3.52E-5	-1.8395812753588
3.53E-5	-1.84208819991909
3.54E-5	-1.84459512447938
3.55E-5	-1.84459512447938
3.56E-5	-1.8395812753588
3.57E-5	-1.83206050167792
3.58E-5	-1.82203280343674
3.59E-5	-1.80949818063527
3.6E-5	-1.79445663327351
3.61E-5	-1.77690816135146
3.62E-5	-1.75685276486911
3.63E-5	-1.73178351926617
3.64E-5	-1.70922119822353
3.65E-5	-1.67913810350001
3.66E-5	-1.65156193333678
3.67E-5	-1.61395806493238
3.68E-5	-1.58136804564856
3.69E-5	-1.54376417724416
3.7E-5	-1.50365338427946
3.71E-5	-1.46103566675447
3.72E-5	-1.41841794922948
3.73E-5	-1.3707863825839
3.74E-5	-1.32315481593832
3.75E-5	-1.27552324929275
3.76E-5	-1.22538475808688
3.77E-5	-1.17273934232071
3.78E-5	-1.11758700199425
3.79E-5	-1.06243466166779
3.8E-5	-1.00226847222075
3.81E-5	-0.944609207333997
3.82E-5	-0.884443017886952
3.83E-5	-0.824276828439906
3.84E-5	-0.761603714432567
3.85E-5	-0.698930600425228
3.86E-5	-0.63625748641789
3.87E-5	-0.573584372410551
3.88E-5	-0.508404333842918
3.89E-5	-0.443224295275286
3.9E-5	-0.37553733214736
3.91E-5	-0.310357293579727
3.92E-5	-0.245177255012095
3.93E-5	-0.179997216444463
3.94E-5	-0.112310253316537
3.95E-5	-0.0471302147489041
3.96E-5	0.0180498238187283
3.97E-5	0.0832298623863608
3.98E-5	0.148409900953993
3.99E-5	0.213589939521626
4E-5	0.276263053528965
4.01E-5	0.338936167536303
4.02E-5	0.399102356983349
4.03E-5	0.461775470990688
4.04E-5	0.524448584998026
4.05E-5	0.579600925324485
4.06E-5	0.63976711477153
4.07E-5	0.694919455097988
4.08E-5	0.75257871998474
4.09E-5	0.805224135750905
4.1E-5	0.857869551517069
4.11E-5	0.90800804272294
4.12E-5	0.958146533928812
4.13E-5	1.00577810057439
4.14E-5	1.05090274265967
4.15E-5	1.09352046018466
4.16E-5	1.13613817770965
4.17E-5	1.17624897067435
4.18E-5	1.21635976363905
4.19E-5	1.24894978292286
4.2E-5	1.28655365132727
4.21E-5	1.31663674605079
4.22E-5	1.34421291621402
4.23E-5	1.37178908637725
4.24E-5	1.39685833198018
4.25E-5	1.41942065302283
4.26E-5	1.43947604950517
4.27E-5	1.46203837054782
4.28E-5	1.47457299334928
4.29E-5	1.48961454071105
4.3E-5	1.49462838983163
4.31E-5	1.50465608807281
4.32E-5	1.51719071087427
4.33E-5	1.52220455999486
4.34E-5	1.51969763543457
4.35E-5	1.52220455999486
4.36E-5	1.51468378631398
4.37E-5	1.51217686175369
4.38E-5	1.50214916351251
4.39E-5	1.49212146527134
4.4E-5	1.48209376703016
4.41E-5	1.4695591442287
4.42E-5	1.45201067230664
4.43E-5	1.43195527582429
4.44E-5	1.41189987934195
4.45E-5	1.3918444828596
4.46E-5	1.36426831269637
4.47E-5	1.33418521797284
4.48E-5	1.30911597236991
4.49E-5	1.2740190285258
4.5E-5	1.24644285836257
4.51E-5	1.20883898995817
4.52E-5	1.17374204611406
4.53E-5	1.13864510226995
4.54E-5	1.10104123386554
4.55E-5	1.05591659178026
4.56E-5	1.01580579881556
4.57E-5	0.973188081290573
4.58E-5	0.925556514644995
4.59E-5	0.880431872559711
4.6E-5	0.832800305914134
4.61E-5	0.785168739268556
4.62E-5	0.735030248062685
4.63E-5	0.687398681417108
4.64E-5	0.634753265650943
4.65E-5	0.584614774445072
4.66E-5	0.531969358678907
4.67E-5	0.479323942912742
4.68E-5	0.426678527146578
4.69E-5	0.37152618682012
4.7E-5	0.318880771053955
4.71E-5	0.263728430727497
4.72E-5	0.208576090401039
4.73E-5	0.15342375007458
4.74E-5	0.100778334308416
4.75E-5	0.048132918542251
4.76E-5	-0.00701942178420722
4.77E-5	-0.0621717621106654
